技术分,估值分位,估值分,未来收益
66.8,6.557377049180328,95.08196721311475,-4.396843291995478
47.3,38.41961852861036,69.34332425068119,5.450500556173532
66.1,6.995884773662551,94.75308641975309,31.870967741935495
39.3,99.01639344262296,12.983606557377044,5.805958747135209
50.2,98.9041095890411,13.095890410958901,5.239436619718307
31.7,99.64830011723329,12.35169988276671,0.30473511486170946
77.7,86.41975308641975,25.580246913580254,-20.823568798125216
61.9,85.10054844606947,26.899451553930533,-42.72058823529412
70.9,73.61912613355317,37.74278647980215,53.58778625954199
70.6,10.245901639344263,92.3155737704918,41.00946372239746
68.7,89.3732970027248,22.626702997275203,11.111111111111116
70.8,19.753086419753085,85.18518518518519,-10.377358490566046
65.0,6.721311475409836,94.95901639344262,0.9999999999999787
71.4,6.164383561643835,95.37671232876713,-5.512960905885866
67.5,1.406799531066823,98.94490035169989,-17.50433275563258
72.8,0.205761316872428,99.84567901234568,-13.863636363636356
49.2,12.888482632541134,90.33363802559415,-10.29411764705882
60.6,10.057708161582852,92.45671887881286,5.41176470588236
25.3,15.315315315315313,88.51351351351352,1.5974440894568787
43.6,15.315315315315313,88.51351351351352,-30.22451429301728
72.1,91.76954732510289,20.23045267489711,-16.26984126984128
36.2,99.1825613079019,12.817438692098094,-15.234375
60.8,96.50924024640656,15.490759753593437,-19.047619047619047
60.1,87.04918032786885,24.950819672131146,-2.604166666666663
76.1,58.0246913580247,51.77777777777777,-0.5555555555555536
41.0,99.17743830787309,12.82256169212691,-14.516129032258062
70.6,58.14432989690722,51.6701030927835,9.23076923076922
72.3,1.2295081967213115,99.07786885245902,-2.5129593180890253
34.4,17.166212534059948,87.12534059945504,-20.17766497461929
56.3,5.1440329218107,96.14197530864197,-3.348937826304732
68.0,2.622950819672131,98.0327868852459,7.862214041546145
66.2,21.91780821917808,83.36986301369863,-25.012493753123444
66.0,8.792497069167643,93.40562719812426,-20.401234567901238
74.2,0.30864197530864196,99.76851851851852,-17.721518987341778
50.7,15.904936014625228,88.07129798903108,52.33975619347228
72.2,40.72547403132729,67.34707337180544,-0.5080693365212219
49.6,97.95081967213115,14.049180327868854,107.98326529177649
70.7,82.01634877384197,29.98365122615803,17.84728610855566
48.5,77.57201646090535,34.18518518518519,72.41538832898027
72.3,80.32786885245902,31.67213114754098,-4.4794188861985385
78.2,37.534246575342465,70.0958904109589,-0.14224943451294214
40.3,47.36225087924971,61.373974208675264,16.500553709856035
51.1,62.96296296296296,47.333333333333336,-28.81867683618642
67.1,28.610603290676416,77.68098720292505,-13.253012048192769
65.8,21.10469909315746,84.06100577081615,15.501806144878106
64.3,10.245901639344263,92.3155737704918,6.074055183175675
62.6,28.065395095367844,78.14441416893733,0.12128562765312267
70.5,3.909465020576132,97.0679012345679,-0.5535242517590744
47.7,25.08196721311475,80.68032786885246,-0.25380710659898
63.4,33.97260273972603,73.12328767123287,4.606836842761375
66.1,25.55685814771395,80.27667057444314,-8.88077858880778
73.6,0.102880658436214,99.92283950617283,-6.4939029001160105
46.7,56.855575868372945,52.82998171846435,-11.602806260118715
58.1,21.022258862324815,84.13107996702391,25.55190438617181
52.4,62.63157894736842,47.631578947368425,-28.057259713701434
64.7,17.89137380191693,86.5814696485623,13.295454545454533
59.9,14.583333333333334,89.0625,-5.5866994450172065
46.8,18.165467625899282,86.37589928057554,-4.735202492211831
74.4,0.8875739644970414,99.33431952662721,-3.922310111451932
54.8,18.523153942428035,86.10763454317897,-35.43191800878477
69.3,4.248366013071895,96.81372549019608,-25.822550029117775
28.0,19.807692307692307,85.14423076923077,-18.666666666666675
24.9,52.11389128559103,57.097497842968075,-14.34620056354815
59.3,18.442622950819672,86.16803278688525,-7.142857142857151
57.0,6.267029972752043,95.29972752043597,-1.0598503740648413
61.6,6.378600823045268,95.21604938271605,29.388029589778064
57.1,44.75409836065574,63.721311475409834,21.630901287553648
59.5,53.56164383561644,55.794520547945204,3.505007153075823
61.5,72.56740914419694,38.68933177022275,1.1985248924400782
68.8,40.534979423868315,67.51851851851852,-21.155795876985472
51.2,69.01279707495429,41.888482632541134,39.182623606744784
73.6,57.213520197856546,52.50783182192911,31.204330175913398
51.7,38.114754098360656,69.60245901639344,-2.0238861504380257
65.4,5.449591280653951,95.91280653950953,2.9942157196325203
59.3,5.349794238683128,95.98765432098766,-8.746871164954417
43.1,25.573770491803277,80.26229508196721,1.317440401505654
59.8,33.15068493150685,73.82191780821917,-9.739862916984677
65.2,5.041031652989449,96.21922626025791,0.09980039920158834
67.8,7.510288065843622,94.36728395061728,-5.8310885609980545
60.1,7.678244972577697,94.24131627056673,-8.554674025526033
56.3,2.8854080791426218,97.83594394064303,2.4723169148219037
53.7,12.295081967213115,90.77868852459017,13.955555555555566
66.4,5.994550408719346,95.50408719346049,-0.20986358866735833
62.4,5.967078189300412,95.5246913580247,-0.23255813953487747
